question_id,model_name,accuracy_score_primary,accuracy_score_second,reasoning_completeness_score_primary,reasoning_completeness_score_second,explanation_clarity_score_primary,explanation_clarity_score_second,tutoring_effectiveness_score_primary,tutoring_effectiveness_score_second
4,ChatGPT,3,3,3,3,3,3,3,3
4,Claude,3,3,3,3,3,3,3,3
4,Grok,3,3,3,3,3,3,3,3
4,Qwen,3,3,3,3,3,3,3,3
6,ChatGPT,3,3,3,3,3,3,3,3
6,Claude,3,3,3,3,2,3,3,3
6,Grok,3,3,3,3,3,3,3,3
6,Qwen,3,3,3,3,3,3,3,3
10,ChatGPT,3,3,3,3,2,2,2,3
10,Claude,3,3,3,3,2,2,3,3
10,Grok,3,3,3,3,3,3,3,3
10,Qwen,3,3,3,3,3,3,3,3
14,ChatGPT,3,3,3,3,3,3,3,3
14,Claude,3,3,3,3,3,3,3,3
14,Grok,3,3,3,3,3,3,3,3
14,Qwen,3,3,3,3,3,3,3,3
17,ChatGPT,3,3,3,3,3,3,3,3
17,Claude,3,3,3,3,3,3,3,3
17,Grok,3,3,3,3,2,3,3,3
17,Qwen,3,3,3,3,3,3,3,3
21,ChatGPT,3,3,3,3,3,3,2,3
21,Claude,3,3,3,3,3,3,3,3
21,Grok,3,3,3,3,3,3,3,3
21,Qwen,3,3,3,3,3,3,3,3
27,ChatGPT,3,3,3,3,3,3,3,3
27,Claude,3,3,3,3,3,3,3,3
27,Grok,3,3,3,3,3,3,3,3
27,Qwen,3,3,3,3,3,3,3,3
29,ChatGPT,3,3,3,3,3,2,2,2
29,Claude,3,3,3,3,3,3,3,2
29,Grok,3,3,3,3,3,3,3,3
29,Qwen,2,3,3,3,3,3,2,3
